number,ROI_mean,Vec (V)
81,22.340249494949493,0.00168464
82,22.341811111111106,0.00168464
83,22.339019191919192,0.00159168
84,22.336229292929293,0.00172802
85,22.337936363636366,0.00165985
86,22.338391919191917,0.00182718
87,22.33928585858586,0.00161647
88,22.34085757575758,0.00157929
89,22.341450505050503,0.00158549
90,22.340907070707075,0.0015545
91,22.34001717171717,0.00171563
92,22.33859595959596,0.00169084
93,22.338092929292937,0.00167844
94,22.33873131313132,0.00170943
95,22.339417171717166,0.00159788
96,22.33968383838383,0.00162887
97,22.33828181818182,0.00165985
98,22.33774545454545,0.00170323
99,22.337425252525254,0.00162267
100,22.33683232323232,0.0015607
101,22.336148484848486,0.00159788
102,22.33841212121212,0.00164746
103,22.339490909090912,0.00164126
104,22.337678787878787,0.00166605
105,22.336815151515154,0.00174661
106,22.33818383838384,0.00174042
107,22.33943434343434,0.00164746
108,22.336896969696966,0.00171563
109,22.338118181818185,0.00173422
110,22.33940707070707,0.00165366
111,22.33948484848485,0.00148633
112,22.338101010101017,0.00157309
113,22.336253535353535,0.00153591
114,22.335970707070715,0.00172182
115,22.337420202020194,0.00172802
116,22.33672525252526,0.0017652
117,22.335663636363634,0.00164126
118,22.335571717171728,0.00162887
119,22.336201010101,0.00153591
120,22.33580404040404,0.00167225
121,22.33495151515151,0.00174661
122,22.33577474747475,0.00182718
123,22.336769696969704,0.00175901
124,22.33771313131313,0.00167225
125,22.33969393939393,0.00161028
126,22.33749797979798,0.00164126
127,22.336304040404052,0.00166605
128,22.33639191919192,0.00168464
129,22.337022222222224,0.00164746
130,22.33770404040405,0.00162887
131,22.338524242424242,0.00169084
132,22.33592424242425,0.00163506
133,22.33718989898989,0.00175901
134,22.33562727272728,0.00183957
135,22.33491717171717,0.0015607
136,22.33548282828283,0.00161028
137,22.33421717171718,0.00154211
138,22.333273737373737,0.00162267
139,22.33296868686869,0.0276693
140,22.333451515151516,0.300995
141,22.334195959595963,0.301664
142,22.3342292929293,0.301757
143,22.332920202020194,0.301577
144,22.335033333333335,0.301763
145,22.334572727272732,0.301633
146,22.334788888888887,0.301695
147,22.335826262626256,0.301707
148,22.335822222222223,0.301627
149,22.33250202020202,0.301571
150,22.332540404040408,0.301583
151,22.333316161616168,0.301757
152,22.332316161616166,0.301707
153,22.332153535353537,0.301732
154,22.333531313131306,0.301695
155,22.33460101010102,0.301527
156,22.33268383838384,0.301744
157,22.333572727272742,0.301837
158,22.331987878787878,0.301844
159,22.331634343434352,0.301645
160,22.333616161616163,0.301571
161,22.33542121212122,0.301682
162,22.336013131313145,0.301664
163,22.334708080808095,0.301738
164,22.334116161616162,0.301713
165,22.334973737373733,0.301707
166,22.335676767676773,0.301565
167,22.333694949494944,0.301627
168,22.333794949494955,0.301627
169,22.330902020202018,0.301819
170,22.331905050505046,0.301825
171,22.33306666666666,0.260131
172,22.277034343434337,0.301503
173,22.10994646464646,0.301435
174,21.45261919191919,0.301441
175,21.193745454545457,0.301627
176,21.015749494949493,0.301701
177,20.90618282828283,0.301558
178,20.826708080808075,0.301404
179,20.77336161616162,0.301496
180,20.72056363636363,0.301503
181,20.690008080808077,0.301645
182,20.65983737373738,0.301633
183,20.632632323232315,0.301633
184,20.60859292929293,0.301484
185,20.590783838383835,0.301465
186,20.56989797979798,0.301472
187,20.557860606060608,0.301608
188,20.54469797979798,0.301496
189,20.530447474747472,0.301527
190,20.516540404040406,0.301484
191,20.507217171717162,0.301546
192,20.49545151515151,0.301503
193,20.487737373737374,0.30154
194,20.477459595959605,0.301534
195,20.468387878787876,0.301373
196,20.460785858585858,0.301453
197,20.45296060606061,0.301447
198,20.443566666666666,0.301447
199,20.436417171717157,0.301614
200,20.43157878787878,0.301515
201,20.427188888888892,0.301509
202,20.4221,0.301447
203,20.41791515151515,0.301435
204,20.409997979797982,0.301633
205,20.4056404040404,0.30162
206,20.399627272727276,0.301583
207,20.393476767676763,0.301465
208,20.389086868686867,0.301472
209,20.388058585858584,0.301416
210,20.38140909090909,0.301447
211,20.3785808080808,0.301515
212,20.374810101010095,0.301503
213,20.37042323232322,0.301546
214,20.36564444444444,0.301496
215,20.361240404040405,0.301521
216,20.356428282828276,0.301645
217,20.35435050505051,0.301602
218,20.351286868686866,0.301515
219,20.348713131313133,0.301515
220,20.34578484848485,0.301503
221,20.340790909090913,0.301503
222,20.339308080808085,0.301552
223,20.33550707070707,0.30154
224,20.33247373737374,0.30149
225,20.330250505050497,0.301515
226,20.32832323232324,0.301565
227,20.32657373737373,0.301465
228,20.31940606060606,0.301552
229,20.319271717171716,0.301577
230,20.314854545454537,0.301509
231,20.31228585858585,0.301496
232,20.311889898989897,0.301447
233,20.308397979797984,0.301366
234,20.30726868686868,0.301385
235,20.304812121212116,0.301589
236,20.30162121212122,0.301639
237,20.300224242424243,0.301509
238,20.299281818181814,0.301478
239,20.295233333333325,0.301465
240,20.292825252525258,0.301416
241,20.29181616161616,0.301602
242,20.290171717171706,0.301571
243,20.28871414141414,0.301571
244,20.287111111111123,0.301472
245,20.284518181818186,0.301534
246,20.28167979797979,0.301416
247,20.280114141414142,0.301546
248,20.279256565656564,0.301577
249,20.27694343434344,0.301447
250,20.273680808080808,0.301478
251,20.27251313131314,0.301447
252,20.269985858585862,0.301472
253,20.26808888888889,0.301546
254,20.266696969696973,0.301521
255,20.265504040404036,0.301695
256,20.263978787878788,0.301589
257,20.262114141414138,0.301416
258,20.26354444444444,0.301478
259,20.26084242424243,0.301546
260,20.258722222222225,0.301558
261,20.256435353535352,0.301534
262,20.254249494949498,0.30154
263,20.25362929292929,0.301459
264,20.249955555555555,0.30141
265,20.25100808080807,0.301614
266,20.251947474747478,0.301472
267,20.251456565656564,0.301496
268,20.24828888888889,0.301633
269,20.245247474747472,0.301503
270,20.247463636363634,0.301534
271,20.246304040404034,0.301484
272,20.24513737373737,0.301583
273,20.24160606060607,0.301465
274,20.238818181818186,0.30141
275,20.238149494949496,0.301484
276,20.235479797979803,0.301472
277,20.234664646464648,0.301534
278,20.233511111111106,0.301552
279,20.233126262626254,0.301571
280,20.23364141414141,0.301534
281,20.23414747474747,0.301472
282,20.232323232323232,0.301447
283,20.231056565656566,0.301509
284,20.22897171717172,0.301602
285,20.225735353535356,0.301565
286,20.225266666666666,0.301534
287,20.225606060606058,0.301546
288,20.22614141414141,0.301627
289,20.224329292929294,0.30154
290,20.222219191919194,0.301515
291,20.220642424242424,0.301496
292,20.22453232323233,0.301441
293,20.22018585858586,0.30149
294,20.215378787878784,0.301459
295,20.216219191919198,0.301558
296,20.215067676767678,0.301682
297,20.214,0.301558
298,20.213794949494957,0.301472
299,20.213379797979805,0.30149
300,20.212096969696972,0.30149
301,20.211092929292924,0.301558
302,20.21045151515151,0.301527
303,20.211879797979798,0.301472
304,20.211140404040403,0.301478
305,20.210055555555552,0.301435
306,20.208090909090902,0.301478
307,20.206674747474747,0.301509
308,20.20982626262626,0.301565
309,20.206224242424238,0.301596
310,20.203841414141408,0.301589
311,20.20147474747474,0.301441
312,20.200759595959596,0.301304
313,20.19785757575758,0.301069
314,20.19717070707071,0.300771
315,20.198142424242427,0.300418
316,20.198925252525264,0.299929
317,20.1980595959596,0.299817
318,20.19728383838384,0.29947
319,20.197131313131308,0.299135
320,20.196375757575755,0.298658
321,20.19392727272727,0.298429
322,20.191656565656565,0.298026
323,20.18997979797979,0.29766
324,20.187724242424245,0.297326
325,20.19103535353535,0.297152
326,20.18802525252525,0.29683
327,20.188194949494953,0.296353
328,20.186561616161608,0.296055
329,20.1848595959596,0.295777
330,20.186442424242422,0.295529
331,20.18538282828283,0.295163
332,20.183980808080804,0.294735
333,20.182660606060605,0.294345
334,20.181236363636373,0.293961
335,20.180144444444434,0.293694
336,20.184857575757576,0.293366
337,20.18123737373738,0.293099
338,20.17997474747474,0.292802
339,20.180306060606068,0.292343
340,20.180066666666672,0.292077
341,20.177783838383842,0.291711
342,20.175689898989894,0.291531
343,20.1761606060606,0.291215
344,20.17489797979798,0.290986
345,20.173503030303024,0.290583
346,20.173242424242424,0.290125
347,20.17263333333333,0.289747
348,20.166905050505054,0.289331
349,20.168257575757575,0.289177
350,20.1694090909091,0.288891
351,20.16863737373738,0.288439
352,20.168152525252538,0.28803
353,20.167859595959598,0.287739
354,20.165708080808088,0.28746
355,20.165169696969684,0.287144
356,20.16367777777778,0.286797
357,20.162772727272724,0.286462
358,20.16246767676767,0.286121
359,20.161466666666666,0.285657
360,20.16313636363636,0.285446
361,20.16119191919192,0.285186
362,20.158840404040408,0.284777
363,20.15698888888889,0.284405
364,20.155959595959594,0.283965
365,20.15745858585859,0.283742
366,20.15689393939394,0.283413
367,20.15546868686869,0.283153
368,20.15416464646464,0.282787
369,20.154651515151517,0.282323
370,20.155540404040405,0.281938
371,20.1563,0.281616
372,20.152441414141418,0.281275
373,20.15078585858586,0.281213
374,20.151439393939395,0.280674
375,20.15084242424242,0.28037
376,20.148809090909094,0.280123
377,20.148800000000005,0.279751
378,20.14666262626262,0.279497
379,20.14553030303031,0.279156
380,20.146873737373742,0.278753
381,20.143587878787876,0.278344
382,20.144393939393947,0.277966
383,20.144003030303022,0.277718
384,20.14238585858585,0.27729
385,20.141397979797972,0.277024
386,20.140346464646473,0.276819
387,20.140093939393932,0.276348
388,20.14093737373738,0.276032
389,20.14184343434344,0.275685
390,20.13905252525252,0.275394
391,20.13632626262627,0.275146
392,20.135213131313126,0.274812
393,20.13489696969697,0.274458
394,20.1349404040404,0.274006
395,20.13580202020202,0.273603
396,20.136554545454544,0.273368
397,20.135661616161617,0.273107
398,20.133089898989898,0.272791
399,20.132761616161616,0.272488
400,20.132694949494944,0.272165
401,20.131921212121213,0.271744
402,20.134874747474743,0.271459
403,20.13292222222222,0.271199
404,20.13073939393939,0.270759
405,20.12983333333333,0.270393
406,20.12868585858586,0.269972
407,20.127758585858587,0.269668
408,20.12823131313131,0.269389
409,20.12574343434343,0.269073
410,20.124223232323228,0.2688
411,20.125514141414136,0.268459
412,20.12631717171716,0.268026
413,20.121229292929296,0.267697
414,20.12309292929293,0.267487
415,20.12436262626263,0.267146
416,20.12468282828283,0.26673
417,20.124118181818194,0.266309
418,20.123472727272738,0.266092
419,20.123563636363635,0.26577
420,20.12371212121211,0.265349
421,20.122413131313134,0.265107
422,20.121471717171723,0.264754
423,20.120528282828293,0.264307
424,20.11935353535354,0.264053
425,20.118242424242425,0.263669
426,20.116490909090903,0.263446
427,20.116296969696982,0.263217
428,20.116137373737374,0.262826
429,20.11587676767676,0.262597
430,20.115818181818177,0.262275
431,20.116490909090903,0.261742
432,20.112900000000003,0.261519
433,20.1127393939394,0.261072
434,20.11201111111111,0.260887
435,20.11099898989898,0.260527
436,20.109982828282828,0.260019
437,20.109108080808085,0.259703
438,20.112126262626262,0.259455
439,20.10976767676767,0.259331
440,20.10813939393939,0.258872
441,20.107276767676765,0.258538
442,20.106599999999997,0.258129
443,20.105646464646465,0.257658
444,20.106649494949497,0.257522
445,20.106127272727278,0.257224
446,20.105678787878794,0.256902
447,20.105378787878788,0.2564
448,20.105596969696972,0.25604
449,20.106705050505063,0.25578
450,20.101320202020204,0.255483
451,20.104121212121203,0.255111
452,20.104654545454554,0.254758
453,20.10319494949495,0.254541
454,20.101525252525256,0.254132
455,20.101454545454533,0.253834
456,20.099942424242432,0.253382
457,20.101192929292928,0.253233
458,20.1001,0.252855
459,20.098396969696967,0.252489
460,20.098014141414144,0.252111
461,20.099485858585865,0.251771
462,20.096322222222227,0.251498
463,20.096733333333326,0.251213
464,20.09584242424242,0.250891
465,20.09564141414141,0.250469
466,20.09645757575757,0.250128
467,20.096620202020205,0.249719
468,20.09330808080807,0.249571
469,20.093122222222224,0.249304
470,20.09260707070708,0.248827
471,20.09213737373737,0.248573
472,20.091257575757577,0.248102
473,20.089184848484855,0.247755
474,20.091324242424243,0.247482
475,20.09247575757576,0.247203
476,20.09174646464646,0.246881
477,20.08994242424242,0.246478
478,20.088765656565656,0.246162
479,20.089529292929296,0.245821
480,20.087202020202024,0.245536
481,20.086196969696964,0.245152
482,20.084906060606066,0.244954
483,20.083669696969697,0.244452
484,20.083087878787882,0.244055
485,20.083678787878792,0.243789
486,20.084743434343437,0.243435
487,20.083364646464645,0.243181
488,20.082925252525254,0.242853
489,20.082371717171714,0.242679
490,20.08179797979798,0.242153
491,20.082467676767674,0.241824
492,20.078873737373744,0.24162
493,20.078456565656566,0.241279
494,20.080198989898992,0.241012
495,20.080658585858583,0.240498
496,20.079805050505048,0.240157
497,20.08099595959596,0.239816
498,20.07890909090909,0.239568
499,20.077271717171715,0.239308
500,20.077201010101,0.238775
501,20.0770696969697,0.23844
502,20.076316161616163,0.2381
503,20.07607878787879,0.237908
504,20.075272727272733,0.237616
505,20.073532323232314,0.237387
506,20.07387474747475,0.236897
507,20.073784848484852,0.236433
508,20.07277676767677,0.236141
509,20.07287575757577,0.235881
510,20.070930303030305,0.235528
511,20.069627272727278,0.235261
512,20.06763434343435,0.234828
513,20.067399999999996,0.234512
514,20.068901010101005,0.234282
515,20.069733333333332,0.23378
516,20.066493939393933,0.233632
517,20.06758080808081,0.233284
518,20.067424242424234,0.232832
519,20.065751515151522,0.232504
520,20.06379292929293,0.23207
521,20.063410101010103,0.231729
522,20.062279797979805,0.231555
523,20.063483838383835,0.231196
524,20.06377575757575,0.230936
525,20.063021212121207,0.230589
526,20.062182828282836,0.23026
527,20.06249090909091,0.229876
528,20.063769696969697,0.229535
529,20.063085858585865,0.229355
530,20.06286565656565,0.229039
531,20.062593939393942,0.228606
532,20.062060606060598,0.228172
533,20.061612121212118,0.227788
534,20.059808080808082,0.227564
535,20.057854545454543,0.227304
536,20.058475757575753,0.226901
537,20.059427272727277,0.226536
538,20.05869595959597,0.226065
539,20.056298989898995,0.225823
540,20.057484848484854,0.225538
541,20.055093939393945,0.22529
542,20.054259595959596,0.224925
543,20.053779797979804,0.224584
544,20.053504040404043,0.224175
545,20.054551515151516,0.223797
546,20.053172727272734,0.223567
547,20.05421414141414,0.223146
548,20.05298787878787,0.222917
549,20.052310101010104,0.222545
550,20.05259393939394,0.222142
551,20.05156565656565,0.221789
552,20.050241414141404,0.221572
553,20.05025656565657,0.221095
554,20.049517171717167,0.220859
555,20.049172727272726,0.220512
556,20.04912727272728,0.220153
557,20.0481898989899,0.219719
558,20.04926161616161,0.219421
559,20.046180808080805,0.219223
560,20.04638888888889,0.218765
561,20.04699191919192,0.218517
562,20.046076767676766,0.218176
563,20.044524242424245,0.217816
564,20.044999999999995,0.217538
565,20.043185858585854,0.217215
566,20.04325454545454,0.216899
567,20.043985858585863,0.216422
568,20.044303030303034,0.216149
569,20.044196969696973,0.215815
570,20.0424898989899,0.21553
571,20.040548484848493,0.215257
572,20.04016363636364,0.214786
573,20.040701010101,0.214402
574,20.04081919191919,0.214073
575,20.039748484848477,0.213745
576,20.03712727272728,0.213621
577,20.03734545454546,0.213268
578,20.037146464646472,0.21289
579,20.036884848484842,0.212505
580,20.036696969696965,0.212158
581,20.0364404040404,0.211793
582,20.037336363636374,0.211477
583,20.033863636363638,0.211167
584,20.034732323232326,0.210814
585,20.03563434343434,0.210516
586,20.035047474747472,0.210163
587,20.035564646464646,0.209711
588,20.03352121212121,0.209574
589,20.032286868686864,0.209196
590,20.0339494949495,0.208862
591,20.033758585858585,0.20857
592,20.031111111111112,0.208118
593,20.030192929292937,0.207783
594,20.0331898989899,0.207461
595,20.03205656565656,0.207207
596,20.02967272727273,0.207002
597,20.027905050505048,0.20642
598,20.02741919191919,0.206172
599,20.027341414141414,0.205868
600,20.028994949494955,0.205608
601,20.027714141414144,0.205342
602,20.027025252525245,0.20492
603,20.02695555555556,0.204418
604,20.02636262626262,0.204114
605,20.024085858585856,0.20378
606,20.02658585858586,0.203495
607,20.024998989898993,0.203173
608,20.023056565656567,0.202987
609,20.021890909090907,0.202485
610,20.022489898989896,0.202169
611,20.024968686868693,0.201815
612,20.02441111111111,0.201549
613,20.023498989898993,0.20122
614,20.023580808080805,0.200898
615,20.022312121212128,0.200508
616,20.020626262626262,0.200136
617,20.0221101010101,0.199919
618,20.021339393939392,0.19956
619,20.020783838383835,0.199237
620,20.020036363636372,0.198835
621,20.02030606060606,0.198456
622,20.02000606060606,0.198122
623,20.01635151515152,0.197669
624,20.01755151515152,0.197415
625,20.018702020202017,0.197211
626,20.017158585858585,0.196926
627,20.01579292929293,0.196523
628,20.01625353535353,0.196263
629,20.01757777777778,0.195829
630,20.015082828282825,0.195463
631,20.012841414141416,0.195253
632,20.012034343434337,0.194825
633,20.01251818181817,0.194472
634,20.013033333333336,0.194106
635,20.01230909090909,0.193778
636,20.010650505050506,0.193493
637,20.01017878787879,0.193263
638,20.010250505050504,0.192836
639,20.010722222222224,0.192551
640,20.01102828282828,0.192135
641,20.010658585858582,0.191863
642,20.00896060606061,0.191547
643,20.008544444444453,0.191268
644,20.007954545454545,0.190853
645,20.00721919191919,0.190382
646,20.006705050505047,0.19014
647,20.00690505050505,0.189824
648,20.00635353535354,0.18952
649,20.004931313131312,0.189316
650,20.005039393939395,0.188938
651,20.00536767676768,0.188467
652,20.00569797979798,0.188008
653,20.00706363636364,0.187773
654,20.001610101010105,0.187525
655,20.00224141414141,0.187209
656,20.002853535353534,0.186948
657,20.002562626262627,0.186515
