number,ROI_mean,Vec (V)
153,8.064769659090912,0.201282
154,8.065491250000001,0.201233
155,8.06513784090909,0.201239
156,8.062506590909095,0.201289
157,8.063761704545454,0.201208
158,8.06364181818182,0.201183
159,8.063146931818185,0.201227
160,8.063004318181822,0.20127
161,8.063016250000004,0.201227
162,8.065867840909087,0.201289
163,8.064515000000002,0.201313
164,8.064663863636362,0.201332
165,8.0653275,0.201227
166,8.065678068181818,0.20127
167,8.06572636363636,0.201208
168,8.064430795454545,0.201152
169,8.065474545454551,0.201196
170,8.06583306818182,0.201208
171,8.065437045454546,0.201065
172,8.065009772727276,0.20122
173,8.065413181818185,0.201227
174,8.064636477272726,0.201233
175,8.063996136363635,0.201326
176,8.064668295454545,0.201295
177,8.064639886363635,0.201301
178,8.063941590909092,0.201208
179,8.064588749999999,0.20114
180,8.065451988636362,0.201152
181,8.065457670454546,0.201208
182,8.06528721590909,0.201227
183,8.065067954545453,0.201189
184,8.064895170454545,0.201363
185,8.064778181818182,0.201369
186,8.063526875000003,0.201245
187,8.064513238636366,0.201332
188,8.065059261363636,0.201344
189,8.065154715909095,0.201313
190,8.06487460227273,0.201251
191,8.064270625,0.201202
192,8.06420977272727,0.201233
193,8.06354443181818,0.201233
194,8.064005227272729,0.201158
195,8.06433534090909,0.201251
196,8.064034204545452,0.201171
197,8.063802386363637,0.201158
198,8.064759943181825,0.201146
199,8.064833806818188,0.201351
200,8.065184375000005,0.201245
201,8.065300852272733,0.201258
202,8.06517414772728,0.201295
203,8.065244602272735,0.201233
204,8.065522954545456,0.201289
205,8.06567068181818,0.201313
206,8.065110454545454,0.20132
207,8.064965625000001,0.201295
208,8.065329772727269,0.201189
209,8.065199147727272,0.201165
210,8.064806136363634,0.201096
211,8.064758977272728,0.201307
212,8.065037954545454,0.201295
213,8.064710681818182,0.201189
214,8.063937954545453,0.201258
215,8.063898181818187,0.201295
216,8.065659034090908,0.201202
217,8.06561869318182,0.201332
218,8.065157329545452,0.201313
219,8.064955624999998,0.20132
220,8.065230056818178,0.201208
221,8.065585738636363,0.201196
222,8.06595710227273,0.201202
223,8.066575284090906,0.201344
224,8.066242329545457,0.201233
225,8.06617301136364,0.201282
226,8.06669232954545,0.20127
227,8.066934375,0.201258
228,8.065068465909095,0.201375
229,8.064601420454549,0.201512
230,8.065211647727274,0.2014
231,8.06556056818182,0.201313
232,8.065211647727278,0.201214
233,8.065005454545455,0.20114
234,8.065413181818183,0.201152
235,8.066269431818183,0.201289
236,8.06667681818182,0.201202
237,8.06632568181818,0.201282
238,8.065784772727271,0.201152
239,8.06602909090909,0.201239
240,8.06537227272727,0.201251
241,8.065526250000003,0.201344
242,8.065677954545453,0.201171
243,8.065676306818183,0.201276
244,8.066002954545455,0.201245
245,8.066330852272733,0.201245
246,8.065822840909085,0.201295
247,8.065465454545457,0.201344
248,8.064438181818177,0.201227
249,8.065846761363636,0.201227
250,8.064401250000001,0.201171
251,8.065108693181818,0.201276
252,8.065578238636357,0.201239
253,8.06593448863636,0.201282
254,8.065378806818181,0.201171
255,8.065265170454541,0.201289
256,8.065699261363635,0.201165
257,8.065458352272726,0.201295
258,8.064931420454545,0.201245
259,8.064575738636366,0.201351
260,8.06439164772728,0.201388
261,8.065076306818185,0.20127
262,8.06519107954546,0.201084
263,8.065137670454552,0.19858
264,8.065642215909097,0.195271
265,8.066318352272733,0.19203
266,8.067866079545464,0.18856
267,8.066991647727281,0.185269
268,8.067090511363647,0.181898
269,8.066291647727281,0.178508
270,8.066085568181816,0.175099
271,8.065708295454542,0.171927
272,8.06573045454545,0.168642
273,8.06617477272727,0.165475
274,8.06679863636363,0.162036
275,8.067267954545452,0.158634
276,8.068223522727274,0.155281
277,8.068177500000003,0.151978
278,8.068176363636363,0.148483
279,8.06835022727273,0.145273
280,8.068255340909094,0.141982
281,8.06811215909091,0.138542
282,8.070079829545453,0.135165
283,8.06939914772727,0.131936
284,8.069159943181818,0.128553
285,8.069726420454545,0.125256
286,8.070449715909094,0.121971
287,8.070183238636362,0.118662
288,8.071712613636365,0.115216
289,8.07159102272727,0.112037
